,MCB ,IBL,SBM,CIEL,Vivo,CIM,EMTEL,PBL,ASCENCIA,AFREXIM,MEDINE,SUN,NMH,LUX,POLICY,NIT,MDIT,BMH,SEMDEX,SEM-10,,
31/05/2021,242.25,47.5,3.76,5,238.5,7.34,,600,,3.1,42,13.25,4.05,32,3.82,36.65,36.65,20.8,1713.6,319.05,,
28/05/2021,250,47.5,3.76,5,238.5,7.34,,600,,3.1,42,13.2,4.07,32,3.82,36.7,36.7,21,1729.63,323.16,,
27/05/2021,254,47.5,3.76,5.02,238.5,7.34,,604,,3.1,42,13.2,4.18,32.75,3.82,36.65,36.65,21,1739.9,325.13,,
26/05/2021,254,47.5,3.79,5.02,238.5,7.34,,604,,3.1,42.5,13.2,4.11,32.75,3.82,36.65,36.65,21,1741.49,325.62,,
25/05/2021,255,47.5,3.9,5,238.5,7.34,,604,,3.1,42.5,13.2,4.1,32.75,3.8,36.7,36.7,21,1747.37,327.13,,
24/05/2021,255,47.5,3.98,5,238.5,7.34,,604,,3.1,40.5,13.15,4.06,33,3.8,36.7,36.7,21,1747.17,328.06,,
21/05/2021,254.25,48,4,5,238.5,7.34,,605,,3.15,40.5,13.1,4.03,33,3.8,36.5,36.5,21,1749.82,329.94,,
20/05/2021,252,48,4,4.96,238,7.34,,605,,3.15,40,13.05,4.02,33,3.8,36.5,36.5,21,1743.69,328.55,,
19/05/2021,253,47.5,4.1,4.92,238,7.36,,605,,3.2,40,13.05,4.1,32.2,3.8,37.7,37.7,21,1741.91,328.13,,
18/05/2021,259,48,4.1,4.9,238,7.36,,605,,3.2,40,13,4.02,31.5,3.75,37.7,37.7,21,1753.68,331.65,,
18/05/2021,259,48,4.1,4.9,238,7.36,,605,,3.2,40,13,4.02,31.5,3.75,37.7,37.7,21,1753.68,331.65,,
17/05/2021,260,48,4.1,4.8,238,7.38,,605,,3.2,40,13,3.76,31.2,3.75,36.8,36.8,21,1756.42,332.5,,
13/05/2021,237,48,4.05,4.8,236,7.38,,605,,3.2,39.6,12.5,4.02,31.5,3.67,36.8,36.8,21,1707.6,318.76,,
12/05/2021,233,48.25,3.98,4.75,236,7.38,,610,,3.2,39.6,12.5,3.98,31.5,3.74,37.6,37.6,21,1693.41,316.92,,
11/05/2021,230,48.25,3.98,4.7,236,7.36,,610,,3.2,40,12.8,4,31.5,3.86,36.5,36.5,21,1687.91,315.2,,
10/05/2021,229,48.5,3.94,4.75,236,7.34,,600,,3.22,37.5,13,4,31.2,3.88,36.5,36.5,21,1683,315.11,,
07/05/2021,229,48.5,3.91,4.75,236,7.34,,605,,3.22,37.5,13,3.96,31,3.88,36.5,36.5,21,1684.14,314.93,,
06/05/2021,229,48.5,3.99,4.75,236,7.34,,605,,3.22,37.5,13.5,4,31,3.82,36.5,36.5,21,1684.23,315.83,,
05/05/2021,228.75,48,4,4.75,236,7.34,,605,,3.22,37.5,12.5,4.15,31.5,3.82,36.5,36.5,21,1681.02,313.61,,
04/05/2021,229,47,4.05,4.5,236,7.3,,600,,3.22,37.5,12.5,4.2,31,3.86,36.5,36.5,21,1668.93,311,,
03/05/2021,229.25,46.75,4.05,4.49,236,7.28,,600,,3.22,37.5,12.45,4.2,30.3,3.84,37,37,21,1666.54,312.15,,
30/04/2021,229,46.5,3.8,4.45,236,7.18,,600,,3.22,37,12.45,4.2,30,3.84,37.1,37.1,21,1654.18,309.33,,
29/04/2021,229,46.5,3.59,4.45,235,7.16,,600,,3.22,37,12.45,4.2,30,3.8,37.35,37.35,21,1646.9,307.5,,
27/04/2021,229.5,46.3,3.56,4.45,234,7.16,,600,,3.22,36,12.5,4.3,30.05,3.8,37.6,37.6,21,1641.73,304.69,,
26/04/2021,230.75,46.3,3.56,4.4,234,7.16,,600,,3.22,35.3,12.7,4.3,30,3.8,37.6,37.6,21,1642.41,304.69,,
23/04/2021,230.75,46.3,3.55,4.4,233,7.18,,600,,3.22,35.3,12.7,4.3,31,3.74,37.35,37.35,21,1641.61,304.37,,
22/04/2021,231,46.1,3.55,4.4,233,7.18,,600,,3.22,35.3,12.55,4.3,29.9,3.72,37.6,37.6,21,1639.36,303.59,,
21/04/2021,231.25,46.1,3.55,4.3,232.25,7.18,,600,,3.22,35.3,12.85,4.4,29.5,3.7,37.6,37.6,21,1635.57,302.52,,
20/04/2021,231,46,3.55,4.26,232.25,7,,600,,3.22,35.3,12.9,4.4,29.5,3.68,37.6,37.6,21,1632.79,302.02,,
20/04/2021,231,46,3.55,4.26,232.25,7,,600,,3.22,35.3,12.9,4.4,29.5,3.68,37.6,37.6,21,1632.79,302.02,,
19/04/2021,231.25,45.75,3.58,4.25,232.25,6.98,,600,,3.22,35,12.9,4.3,29.15,3.66,37.6,37.6,21.5,1631.28,301.85,,
16/04/2021,231.5,45.55,3.58,4.2,230,6.98,,600,,3.22,35,12.9,4.3,29.15,3.66,37.6,37.6,21.5,1629.1,303.87,,
15/04/2021,231.5,45.5,3.58,4.2,230,6.96,,600,,3.22,35,12.9,4.3,28.5,3.66,37.45,37.45,21.5,1624.36,303.17,,
15/04/2021,231.5,45.5,3.58,4.2,230,6.96,,600,,3.22,35,12.9,4.3,28.5,3.66,37.45,37.45,21.5,1624.36,303.17,,
14/04/2021,229,45.75,3.58,4.23,230,6.94,,600,,3.22,34.7,13,4.3,28,3.67,37.45,37.45,21.5,1621.31,302.41,,
12/04/2021,228,45.9,3.59,4.24,230,6.94,,600,,3.22,37.95,13,4.3,28,3.66,37.55,37.55,21.5,1621.88,301.87,,
09/04/2021,226,45.9,3.5,4.24,230,6.94,,600,,3.22,38,12.75,4.2,28,3.66,37.55,37.55,21.5,1613.4,300.08,,
08/04/2021,225,45.45,3.5,4.25,230,6.92,,600,,3.22,38,12.75,4.5,27.5,3.67,37.6,37.6,21.5,1607.58,298.51,,
07/04/2021,223.25,45,3.5,4.3,230,6.94,,600,,3.22,38,13.45,4.5,27.5,3.67,37.6,37.6,21.5,1606.47,298.07,,
06/04/2021,222,45,3.55,4.3,230,6.94,,600,,3.22,38,13.75,4.5,27,3.67,37.6,37.6,21.5,1604.49,297.57,,
05/04/2021,222,45,3.55,4.3,230,6.92,,600,,3.22,38,14.45,4.45,27,3.67,37.6,37.6,21.4,1605.95,297.72,,
02/04/2021,221.5,45,3.55,4.3,226.75,6.92,,600,,3.22,38,14.45,4.45,26.95,3.7,37.65,37.65,21.5,1604.76,297.16,,
01/04/2021,221,45,3.6,4.39,226.75,6.9,,597,,3.22,38,14.45,4.65,26.95,3.7,37.5,37.5,21.5,1605.94,297.71,,
31/03/2021,219.5,44.5,3.5,4.5,226.75,6.9,,597,,3.22,38,14.65,4.6,26.95,3.66,37.6,37.6,21.5,1600.19,295.87,,
30/03/2021,224,44.5,3.5,4.5,226.5,6.9,,600,,3.22,38,14.75,4.6,26.95,3.7,37.6,37.6,21.5,1607.36,298.17,,
29/03/2021,225,44.5,3.5,4.39,226.5,6.9,,600,,3.22,38,14.95,4.5,26.95,3.7,37.6,37.6,21.5,1606.83,298.08,,
26/03/2021,225,44.5,3.5,4.4,226.5,6.9,,599,,3.2,38,14.95,4.63,26.95,3.7,37.65,37.65,21.5,1606.07,298.06,,
25/03/2021,225,44.5,3.5,3.96,226.5,6.86,,599,,3.2,38,12.5,4.62,26.5,3.7,37.3,37.3,22.5,1593.87,296.18,,
24/03/2021,225,44,3.45,3.92,226.5,6.84,,599,,3.2,38,11.8,4.38,24.95,3.7,37,37,24.9,1583.29,294.39,,
23/03/2021,223.75,44,3.42,3.93,225,6.84,,599,,3.2,38,11.3,3.9,24.5,3.7,37,37,22,1570.13,293.04,,
22/03/2021,223.5,44,3.33,3.93,224.75,6.84,,599,,3.2,38,11.2,3.9,24.15,3.7,37,37,22,1565.97,292.13,,
19/03/2021,223,44,3.33,3.93,224.25,6.84,,600,,3.2,38,11.2,4,24,3.65,37,37,22,1563.5,291.4,,
18/03/2021,222,43.85,3.32,3.93,224,6.84,,600,,3.2,38.9,11.2,4,24,3.69,38,38,21.35,1563.07,290.87,,
17/03/2021,220,43.5,3.32,3.94,224,6.84,,600,,3.2,34.1,11.2,4,24.5,3.69,38,38,21.35,1556.92,290.05,,
16/03/2021,216,43.5,3.32,3.94,224,6.84,,600,,3.2,31.1,11.2,4.2,24.5,3.69,38,38,21.35,1547.75,287.87,,
15/03/2021,216,43.8,3.32,3.94,224,6.84,,600,,3.2,30.5,11.25,4.2,24.5,3.77,38.1,38.1,21.35,1550.86,288.29,,
09/03/2021,225,43.85,3.35,3.93,224,6.9,,600,,3.2,36.5,11.5,4.2,24.5,3.8,38.5,38.5,21.35,1579.09,293.9,,
08/03/2021,225,43.75,3.35,3.93,224,6.9,,599,,3.2,36.2,11.6,4.2,24.5,3.99,38.5,38.5,21.35,1578.31,293.49,,
05/03/2021,226,43.6,3.35,3.93,224,6.9,,599,,3.2,36.8,11.8,4.14,24.85,3.99,38.5,38.5,21.35,1579.99,292.78,,
04/03/2021,225.25,43.5,3.35,3.9,224,6.9,,599,,3.2,36.5,11.8,4.14,24.85,3.98,38.9,38.9,20.8,1578.01,292.2,,
03/03/2021,226,43.5,3.34,3.94,224,6.9,,599,,3.22,38.25,11.8,4.5,24.85,4,38.5,38.5,20.8,1583.52,292.72,,
02/03/2021,225,46.5,3.36,3.94,223.75,6.9,,599,,3.22,36.5,11.8,4.53,24.85,4,38.5,38.5,20.8,1597.51,298.16,,
01/03/2021,227.5,46.5,3.36,3.94,223.75,6.88,,599,,3.22,36.5,11.8,4.12,24.9,3.92,38.5,38.5,20.8,1599.77,299.22,,
26/02/2021,227,46.5,3.38,3.94,223.75,6.84,,599,,3.22,36.5,11.8,4.12,24.95,3.73,38.5,38.5,20.8,1598.25,297.5,,
25/02/2021,228,46.5,3.4,3.94,223.75,6.82,,599,,3.22,36.5,11.8,4.12,24.95,3.72,38.95,38.95,20.8,1601.29,298.61,,
24/02/2021,230,46.05,3.49,3.94,223.75,6.8,,599,,3.22,36.5,11.5,4.32,24.95,3.74,39,39,20.8,1604.89,301.01,,
23/02/2021,230.5,46.5,3.42,3.87,223.75,6.8,,599,,3.22,36.5,11.5,4.32,24.95,3.7,39,39,20.8,1606.18,301.22,,
22/02/2021,232,46.5,3.4,3.8,223.75,6.78,,599,,3.24,36.5,11.8,4.6,24.95,3.9,39,39,20.8,1609.18,301.55,,
19/02/2021,230,47.1,3.4,3.78,223.75,6.78,,599,,3.25,37,11.8,4.5,24.85,3.99,39,39,20.8,1607.09,300.91,,
18/02/2021,225.25,47.1,3.4,3.76,223.75,6.76,,600,,3.25,37,11.8,4.32,24.85,3.98,39,39,20.8,1596.75,296.95,,
17/02/2021,221.5,47.1,3.27,3.76,223.5,6.76,,600,,3.25,37,11.8,4.02,24.85,3.99,39.25,39.25,20.8,1585.57,293.6,,
16/02/2021,221.75,47.1,3.27,3.76,223.5,6.78,,599,,3.25,37.4,11.8,3.6,24.9,4,39.25,39.25,20.8,1585.29,292.02,,
15/02/2021,227.25,47.1,3.24,3.76,223.5,6.74,,599,,3.25,39,12.2,4.25,24.9,4,39.25,39.25,20.8,1601.33,298.83,,
11/02/2021,234,47.2,3.4,3.87,223.5,6.74,,600,,3.25,39,12.2,4.29,24.9,4.12,39.25,39.25,20.8,1622.84,303.77,,
10/02/2021,235,47.2,3.48,3.87,224,6.74,,600,,3.25,39,12.25,4.29,25,4.19,39,39,20.8,1626.3,304.8,,
09/02/2021,235,47.1,3.48,3.87,223.5,6.74,,600,,3.25,37.6,12.35,4.29,26.8,4.19,39,39,20.8,1627.8,304.72,,
08/02/2021,236,47.1,3.48,3.87,223.5,6.74,,600,,3.25,37.5,12.35,4.55,27.3,4.19,39,39,20.8,1631.54,305.3,,
05/02/2021,236,47,3.54,3.87,223.5,6.72,,599,,3.25,37.5,12.35,4.55,27.3,4.17,39.1,39.1,20.8,1632.31,305.68,,
04/02/2021,236,47,3.52,3.87,223.5,6.7,,599,,3.25,37.5,12.45,4.88,27.4,4.17,39.1,39.1,20.8,1634.69,305.96,,
03/02/2021,236,47,3.54,3.86,223.25,6.7,,600,,3.25,37.55,12.6,5,27.5,4.15,39,39,20.8,1636.06,305.52,,
02/02/2021,236,47,3.52,3.85,223.25,6.7,,599,,3.25,37.55,12.9,5,27.5,4.15,38.5,38.5,20.8,1635.39,305.65,,
29/01/2021,236,47,3.55,3.85,223.25,6.7,,599,,3.25,38,12.9,5.2,27.5,4.15,38.5,38.5,20.8,1638,305.83,,
27/01/2021,237.25,47.05,3.59,3.85,223.25,6.7,,599,,3.25,38,12.95,5.2,27.5,4.15,37.55,37.55,20.8,1641.57,306.49,,
26/01/2021,237.25,47.05,3.59,3.85,223.25,6.7,,599,,3.25,38,13,5.2,27.5,4.12,39.5,39.5,20.8,1641.73,306.31,,
25/01/2021,237.25,47.05,3.59,3.85,223,6.68,,597,,3.25,38.8,13,5.2,27.5,4.15,39.35,39.35,21,1646.4,308.45,,
22/01/2021,237,47.5,3.5,3.85,223,6.64,,595,,3.25,39.5,13,5.2,27.55,4.12,39.25,39.25,22.75,1647.96,308.62,,
21/01/2021,237.25,47.5,3.54,3.85,223,6.64,,595,,3.25,39.5,13.25,5.2,27.55,4.12,39.25,39.25,22.75,1650.55,308.86,,
20/01/2021,237.25,47.45,3.54,3.85,223,6.58,,595,,3.25,40,13.3,5.24,27.55,4.1,39.65,39.65,23,1651,309.34,,
19/01/2021,237.5,47.45,3.56,3.85,223,6.58,,590,,3.25,40,13.3,5.24,27.55,4.1,39.65,39.65,23,1649.68,309.39,,
18/01/2021,238,47.45,3.5,3.85,223,6.58,,590,,3.25,40,13.3,5.4,27.55,4.1,39.5,39.5,23,1650.85,309.55,,
15/01/2021,238,47.45,3.55,3.85,223,6.58,,590,,3.25,40,13.3,5.4,27.55,4.12,39.5,39.5,23.3,1652.41,309.63,,
14/01/2021,238,47.5,3.56,3.85,223,6.56,,590,,3.25,40,13.3,5.44,27.55,4.1,39.95,39.95,23.75,1653.92,309.84,,
13/01/2021,238,47.45,3.56,3.85,223,6.56,,590,,3.25,40,13.8,5.44,27.55,4.12,40,40,23.75,1656.43,310.3,,
12/01/2021,237.5,47.45,3.56,3.85,223,6.52,,590,,3.25,40,13.8,5.4,27.6,4.12,40,40,24,1655.5,310.29,,
11/01/2021,237.5,47.5,3.56,3.85,223,6.52,,591,,3.25,41,13.8,5.4,27.6,4.1,40.25,40.25,24.5,1654.94,309.92,,
08/01/2021,237.75,47.45,3.56,3.8,223,6.5,,591,,3.27,42,13.8,5.4,27.6,4.1,40.25,40.25,24.5,1656.15,309.95,,
07/01/2021,238,47.45,3.59,3.8,220,6.5,,591,,3.27,41.8,13.8,5.4,27.6,4.07,40.25,40.25,24,1655.11,309.69,,
06/01/2021,236.75,47.45,3.53,3.76,220,6.42,,591,,3.27,41.8,13.8,5.4,27.6,4.05,40.45,40.45,24.25,1644.91,308.09,,
05/01/2021,236.75,47.45,3.57,3.76,220,6.42,,591,,3.27,41.8,13.8,5.44,26.5,4,39.75,39.75,24.25,1644.33,308.68,,
04/01/2021,236.75,47.5,3.62,3.76,220,6.42,,591,,3.27,42,13.8,5.44,26.6,4,39.5,39.5,24.25,1644.03,308.94,,
31/12/2020,238.5,47.45,3.6,3.78,220,6.42,,591,,3.27,42,13.8,5.46,26.6,4.01,37.5,37.5,24.25,1648.39,309.7,,
30/12/2020,237,47.5,3.6,3.78,220,6.44,,591,,3.27,42,13.8,5.46,26.6,4.1,36.95,36.95,24.25,1645.65,308.97,,
29/12/2020,237,47.5,3.52,3.7,220,6.42,,590,,3.25,42,13.8,5.44,26.6,4,36.5,36.5,24.25,1642.14,308.2,,
28/12/2020,236,48,3.4,3.68,220,6.4,,590,,3.25,42,13.8,5.26,26.6,3.99,36.5,36.5,24.25,1637.84,307.38,,
24/12/2020,238,47,3.35,3.62,217,6.4,,590,,3.25,42,13.75,5.26,26.6,3.98,36.5,36.5,24.5,1634.32,306.36,,
23/12/2020,239,47,3.35,3.62,217,6.4,,590,,3.25,42,13.25,5.2,26.6,3.99,36.5,36.5,24.5,1634.42,306.87,,
22/12/2020,239,47,3.35,3.69,217,6.38,,590,,3.25,42.3,13.5,5.2,26.6,3.99,36.5,36.5,24.5,1634.2,306.64,,
21/12/2020,239,46,3.35,3.6,217,6.28,,590,,3.25,42.2,13.25,5.1,26.55,3.92,36.5,36.5,24,1625.3,305,,
18/12/2020,236.5,46,3.22,3.6,217,6.28,,590,,3.25,42.2,13.25,5.1,26.55,3.85,35,35,24,1614.5,302.55,,
17/12/2020,235.25,46,3.25,3.75,217,6.26,,590,,3.25,42.2,13.25,5.1,26.55,3.82,33,33,24,1611.01,302.02,,
16/12/2020,235,46,3.34,3.98,217,6.26,,590,,3.25,42,13.5,5.08,26.55,3.8,32.5,32.5,24,1614.18,302.92,,
15/12/2020,233,46,3.35,3.5,217,6.26,,590,,3.25,40.5,13.25,5.08,26.5,3.7,32.5,32.5,24,1600.35,299.97,,
14/12/2020,233,46,3.44,3.4,217,6.26,,590,,3.25,40.5,13.25,5.08,26.5,3.65,32.5,32.5,24,1600.82,300.37,,
11/12/2020,232,46,3.48,3.5,217,6.14,,590,,3.25,42.25,13.3,5.08,26.5,3.65,32,32,24.25,1602.92,300.57,,
10/12/2020,234,46,3.47,3.5,217,6.26,,590,,3.25,42.25,13.1,5.08,26.5,3.65,32,32,24.5,1607.81,301.77,,
09/12/2020,235,46,3.47,3.5,217,6.22,,600,,3.27,42.2,13.1,5.16,26.5,3.65,33,33,24.5,1609.27,302.4,,
08/12/2020,235.25,46,3.5,3.45,216.5,6.1,,600,,3.27,42.2,13.1,5.08,26.5,3.66,33,33,24.5,1604.55,301.67,,
07/12/2020,235,46.05,3.52,3.45,216,6.1,,600,,3.27,42.2,13,5,26.5,3.6,33,33,24.5,1602.19,301.55,,
04/12/2020,238,46,3.52,3.37,216,6.1,,600,,3.27,43.5,13,5,26.5,3.52,33,33,24.5,1606.59,302.36,,
03/12/2020,238,46,3.5,3.37,216,6.1,,600,,3.27,45.85,13,4.99,26.5,3.42,33,33,24.5,1606.35,302.23,,
02/12/2020,240,45,3.5,3.37,216,6.1,,590,,3.27,45.85,13,4.9,28.6,3.7,33,33,24.5,1606.01,301.45,,
01/12/2020,240,44.5,3.5,3.25,216,6.1,,590,,3.27,47,13,4.9,28.6,3.64,32.5,32.5,24.5,1600.72,300.07,,
30/11/2020,240,44.5,3.5,3.25,221,6.1,,590,,3.27,47,13,4.75,28.6,3.6,32.5,32.5,24.5,1602.46,300.32,,
27/11/2020,239,44.5,3.35,3.19,221,6.1,,590,,3.27,41,13,4.85,28.6,3.6,32.5,32.5,24.5,1584.83,298.16,,
26/11/2020,239,44.5,3.4,3.14,220,6.1,,590,,3.28,38,13,4.85,28.6,3.62,32,32,24.5,1581.82,298.18,,
25/11/2020,239,44.5,3.4,3.14,220,6.1,,590,,3.28,36,13,4.85,28.6,3.62,32,32,24.5,1581.58,298.39,,
24/11/2020,235,44.45,3.38,3.12,220,6.1,,590,,3.28,35,13.1,4.85,26.5,3.8,32,32,24.5,1569.43,296.13,,
23/11/2020,235,44.45,3.38,3.14,220,6.1,,590,,3.28,35,13.1,4.85,26.5,3.7,32,32,24.5,1568.22,296.13,,
20/11/2020,230,44.5,3.2,3.12,220,6.1,,590,,3.28,35,13.1,4.85,26.5,3.64,32,32,24.5,1551.51,292.03,,
19/11/2020,233.5,44.5,3.2,3.12,220,6.1,,573,,3.28,33,13.1,4.85,26.5,3.66,32,32,24.5,1554.54,293.29,,
18/11/2020,240,44.1,3.2,3.12,220,6.14,,573,,3.28,33,13.1,4.85,26.5,3.88,31.75,31.75,24.5,1560.76,295.07,,
17/11/2020,230,44,3.1,3.12,220,6.14,,573,,3.28,32.5,13.1,4.85,26.5,3.75,31.75,31.75,24.5,1532.51,288.33,,
16/11/2020,220,43.95,3.09,3.12,220,6.14,,573,,3.28,32,13.1,4.85,26,3.42,31.75,31.75,24.5,1509.57,283.06,,
13/11/2020,218.25,44,3.1,3,220,6.04,,573,,3.28,31.7,13.1,4.85,26,3.4,31.75,31.75,24.5,1502.14,281.51,,
12/11/2020,218.5,44,3.15,3.02,220,6.02,,573,,3.28,31.5,13.1,4.85,26,3.3,31.75,31.75,24.5,1503.65,282.08,,
11/11/2020,218,42.5,3.2,3.06,220,6.04,,573,,3.28,31,13,4.85,27,3.15,31.75,31.75,24.5,1496.16,280.11,,
10/11/2020,216.25,42,3.2,2.92,220,6.04,,573,,3.25,29.25,14.2,4.9,27,3.2,31.75,31.75,24.5,1487.31,277.62,,
09/11/2020,207,42,3.18,2.84,220,6.04,,573,,3.28,29.1,14,4.75,24.1,3.02,31.75,31.75,24.5,1460.16,272.02,,
06/11/2020,206.5,43,3.15,2.85,220,6.02,,573,,3.28,29,14,4.75,24,3.2,31.75,31.75,24.5,1464.04,272.99,,
05/11/2020,207,43,3.12,2.85,220,6.02,,573,,3.28,29,14,4.85,23.5,3.2,31.75,31.75,24.5,1463.99,273.02,,
04/11/2020,205,43,3.08,2.81,220,6.02,,573,,3.28,29,14,4.9,23.5,3.2,33.5,33.5,24.5,1459.41,271.66,,
03/11/2020,206.25,43,3.13,2.85,220,6.02,,573,,3.28,29,14.5,4.9,23.5,3.24,33.5,33.5,24.5,1466.08,272.93,,
30/10/2020,206.25,43,3.14,2.85,225,6.02,,573,,3.28,29,14.6,4.9,23.5,3.27,33.5,33.5,24.5,1468.59,273.31,,
29/10/2020,206.75,43,3.18,3,225,6.02,,575,,3.28,29.05,14.6,5,23.5,3.28,33.5,33.5,24.5,1472.7,274.44,,
28/10/2020,207,43,3.18,3.06,225,6.04,,580,,3.28,29.05,14.6,5,23.5,3.5,33.5,33.5,26,1476.48,274.81,,
27/10/2020,207.5,43,3.16,3.06,225,6.02,,580,,3.28,29.05,14.75,5,23.5,3.5,33.5,33.5,26,1477,274.93,,
26/10/2020,207.5,43,3.2,3.06,225,6.02,,580,,3.28,29,14.75,5.08,24,3.46,32.5,32.5,26,1478.89,275.11,,
23/10/2020,207.25,43,3.2,3,225,6.02,,580,,3.28,29.1,14.75,5.12,24,3.5,33.5,33.5,26,1477.35,274.77,,
22/10/2020,206.75,43,3.2,3.06,225,6.02,,580,,3.28,29.5,14.75,5.12,24,3.63,33.5,33.5,26,1475.1,274.36,,
21/10/2020,207,43,3.24,3.01,225,6.02,,580,,3.28,29.25,14.75,5.14,23.6,3.62,33.5,33.5,26,1476.88,274.43,,
20/10/2020,207.25,43,3.25,3.01,227,6.04,,580,,3.28,29.25,14.8,5.16,23.6,3.8,33.5,33.5,26,1477.87,274.51,,
19/10/2020,205.5,43,3.25,3.06,227,6.04,,580,,3.28,29.55,14.8,5.18,23.55,3.8,33.5,33.5,26,1476.84,274.07,,
16/10/2020,203.75,43,3.25,3.06,227,6.04,,580,,3.28,29.5,14.8,5.18,23.55,3.8,33.5,33.5,26,1474.45,273.33,,
15/10/2020,203.5,43,3.25,3.06,227,6.02,,580,,3.28,30,14.8,5.18,23.55,3.8,33.5,33.5,26,1473.78,272.96,,
14/10/2020,203.5,43,3.3,3.14,227,6.04,,580,,3.28,32,14.8,5.18,24,3.92,33.5,33.5,26,1481.43,273.97,,
13/10/2020,203.75,43,3.2,3.14,227,6.04,,580,,3.28,32,14.8,5.18,24,3.92,33.5,33.5,26,1478.73,273.33,,
12/10/2020,205,43,3.24,3.1,227,6.04,,580,,3.28,29,14.8,5.18,24.1,4,33.5,33.5,26,1479.88,274.07,,
09/10/2020,205,42,3.25,3.12,227,6.04,,580,,3.28,29,14.8,5.18,24.1,4,33.5,33.5,26,1476.59,273.22,,
08/10/2020,205,42,3.25,3.1,227,6.04,,580,,3.28,30,14.8,5.2,24.1,4,33.5,33.5,26,1475.82,272.77,,
07/10/2020,205,42,3.25,3.1,227,6.04,,580,,3.28,30,15.5,5.2,24.1,3.9,33.5,33.5,26,1477.94,273.41,,
06/10/2020,206,42,3.25,3.1,227,6.04,,580,,3.28,32.9,14.25,5.12,24.1,4,33.5,33.5,26,1478.84,273.3,,
05/10/2020,200,42,3.25,3.1,227,6.06,,581,,3.28,33,14.5,5.12,25,4,33.5,33.5,26,1470.35,269.95,,
02/10/2020,205,42,3.3,3.1,227,6.06,,581,,3.28,33,14.5,5.12,25.2,4.1,33.5,33.5,26,1483.39,273.83,,
01/10/2020,210,43,3.27,3.05,227,6.06,,581,,3.28,30,14.5,5.12,25.9,3.92,33.5,33.5,26,1496.88,278.09,,
30/09/2020,211.25,44,3.27,3.05,227,6.06,,581,,3.28,29,14.5,5.12,25.9,4,33.5,33.5,26,1507.77,279.99,,
29/09/2020,211,44,3.26,3.2,227,6.06,,580,,3.28,29.5,14.4,5.12,25.9,4,33.5,33.5,26,1509.8,280.33,,
28/09/2020,211.25,44,3.3,3.2,227,6.04,,580,,3.28,30,14.4,5.12,26.1,4.2,33.5,33.5,26,1514.24,281.26,,
25/09/2020,212,44,3.4,3.26,227,6.04,,583,,3.28,33.5,14.85,5.18,26.2,4.2,33.5,33.5,26,1525.56,283.82,,
24/09/2020,211,43.55,3.43,3.26,227,6.04,,583,,3.28,33.5,14.85,5.2,26.5,4.23,33.5,33.5,26,1523.02,282.88,,
23/09/2020,211.75,43.55,3.45,3.25,227,6.04,,582,,3.28,34,14.8,5.1,26.5,4.25,33.5,33.5,26.5,1526.74,283.76,,
22/09/2020,214,43.55,3.5,3.25,227,6.04,,582,,3.28,36.75,14.4,5.04,26.5,4.27,33.5,33.5,26.5,1533.98,285.85,,
21/09/2020,215,43,3.5,3.25,227,6.08,,582,,3.28,38.4,14.4,5.06,26.5,4.27,33.3,33.3,26.75,1535.06,285.96,,
18/09/2020,215.5,43,3.5,3.25,227,6.12,,582,,3.28,38.4,14.4,5,27,4.28,33.5,33.5,26.75,1540.89,287.7,,
17/09/2020,215.5,43,3.5,3.25,227,6.08,,582,,3.28,38.7,14.45,5,27,4.28,33.5,33.5,26.8,1542.66,288.24,,
16/09/2020,215.25,43,3.55,3.25,227,6.08,,582,,3.32,38.7,14.15,5,27.5,4.27,33.5,33.5,26.8,1542.76,287.6,,
15/09/2020,215.25,43,3.5,3.25,227,6.08,,582,,3.32,38.7,14.15,4.99,27.5,4.27,33.5,33.5,26.8,1542.09,287.27,,
14/09/2020,215.25,43,3.51,3.3,227,6.16,,582,,3.32,38.7,14.15,4.96,27.5,4.27,33.5,33.5,26.8,1543.64,287.56,,
11/09/2020,216,43,3.51,3.25,227,6.06,,582,,3.32,38.7,14.15,4.9,27.5,4.27,33.5,33.5,26.8,1544.09,287.73,,
10/09/2020,216,43,3.5,3.38,227,6.08,,590,,3.32,38.7,14.15,4.9,28,4.28,33,33,26.8,1548.47,288.14,,
09/09/2020,215.75,43,3.44,3.38,227,6.1,,590,,3.32,38.7,14.15,4.92,28,4.28,33,33,26.8,1547.13,287.74,,
08/09/2020,215.5,43.5,3.47,3.22,227,6.06,,590,,3.32,38.7,14.15,4.9,28,4.27,33,33,26.8,1548.27,288.07,,
07/09/2020,216,43,3.5,3.23,227,6.04,,590,,3.32,38.75,14.15,4.9,28,4.28,33,33,26.8,1546.38,287.63,,
04/09/2020,219,43,3.74,3.22,227,6.04,,590,,3.32,38.75,14.15,4.9,28.2,4.26,33,33,26.8,1558.71,291.01,,
03/09/2020,223.5,43,3.75,3.25,227,6.04,,590,,3.32,38.9,14,4.9,28.2,4.26,33,33,27,1571.77,293.85,,
02/09/2020,225.5,43.5,3.85,3.25,227,6.04,,590,,3.32,38.9,13.85,4.8,28.1,4.28,33,33,27,1581.32,296.24,,
01/09/2020,230,43.5,3.8,3.21,227,6.04,,590,,3.32,38.9,13.85,4.65,28,4.28,33,33,27,1588.05,298.72,,
